"scen","r2m","r2c","r2m_for","r2m_clim","denom","for_ri","clim_ri","shared_ri","randEff_propR2","rep"
"cover_2100",0.0521009677440139,0.453533961265475,0.00792058972029401,0.0374622467799409,0.0521009677440139,0.152023850290267,0.719031687933379,0.128944461776354,0.885122235171455,7
"richness_2100",0.267371373677746,0.510332493996285,0.000888189405322263,0.273944902661506,0.274833092066828,0.00323174112201267,0.996768258877987,0,0.476083971091027,7
"temp_2100",0.329530691722927,0.686163125680891,0.00181977688022265,0.328413765093643,0.330233541973865,0.00551057554403928,0.994489424455961,0,0.519748760331695,7
"cover_2050",0.0261042181272043,0.667863290695294,0.0111923993277054,0.0142347097895813,0.0261042181272043,0.428758267080264,0.545303051032456,0.0259386818872797,0.960913829984535,8
"richness_2050",0.0847546457000913,0.872957438225592,0.00140920547089241,0.0846003956779307,0.0860096011488232,0.0163842809647966,0.983615719035203,1.11022302462516e-16,0.902910907234645,8
"temp_2050",0.0734512314344093,0.947225781601548,0.00151027956137354,0.0740573009718116,0.0755675805331851,0.0199858133701967,0.980014186629803,0,0.922456469343328,8
"cover_2100",0.0496897285452878,0.37351900947035,0.0096311757515134,0.0341007591412483,0.0496897285452878,0.193826290331521,0.686273806269005,0.119899903399475,0.86696867552806,8
"richness_2100",0.266229318034625,0.513853618238761,0.00227991724023163,0.269902170903417,0.272182088143649,0.00837644113828816,0.991623558861712,0,0.48189657796489,8
"temp_2100",0.33452614987674,0.653613188772877,0.00248844931266688,0.333154355089044,0.335642804401711,0.0074139808154165,0.992586019184583,0,0.488189412908276,8
"cover_2050",0.0221349141687324,0.649008137927185,0.00767631085856387,0.0140785883545648,0.0221349141687324,0.346796504384343,0.636035371415722,0.0171681241999351,0.965894242498365,9
"richness_2050",0.0852482457239072,0.881670195413324,0.000625258383278539,0.0859061023941205,0.086531360777399,0.00722580088491858,0.992774199115081,0,0.903310505257646,9
"temp_2050",0.0716114607145051,0.945106768241615,0.00100071836697958,0.0726363852488983,0.0736371036158779,0.0135898659485542,0.986410134051446,0,0.924229237245079,9
"cover_2100",0.0496836589550199,0.36152442086518,0.00602137040459837,0.0432501069131599,0.0496836589550199,0.1211941819754,0.870509697208805,0.00829612081579534,0.862571776379256,9
"richness_2100",0.267933663320678,0.508362276274346,0.000747163771838603,0.273856682216883,0.274603845988721,0.00272087875953963,0.99727912124046,-1.11022302462516e-16,0.472947392390534,9
"temp_2100",0.331485663860952,0.651976974561306,0.00250996504356226,0.332367918581241,0.334877883624803,0.00749516515212579,0.992504834847874,0,0.491568449815275,9
"cover_2050",0.021854546252679,0.638251004055908,0.00718466982188513,0.0143590555456864,0.021854546252679,0.328749439078581,0.657028307962524,0.0142222529588948,0.965758696635337,10
"richness_2050",0.085399654352254,0.863696825118097,0.000747978124759374,0.0862220678049685,0.0869700459297279,0.00860041082838731,0.991399589171613,0,0.901123111873687,10
"temp_2050",0.0720133586895143,0.941454049824311,0.00162934523358878,0.0726359704616049,0.0742653156951937,0.02193951804199,0.97806048195801,-1.11022302462516e-16,0.923508365912332,10
"cover_2100",0.0445656685583998,0.354796511756283,0.0027275091434817,0.046785264952517,0.0495127740959987,0.055086978931809,0.944913021068191,0,0.874390905542462,10
"richness_2100",0.26957716835421,0.499898279223029,0.00248085335843811,0.288354589232064,0.290835442590502,0.00853009294995439,0.991469907050046,0,0.460735954576193,10
"temp_2100",0.335342925847064,0.637706953082708,0.00239731044144154,0.3306876419961,0.335342925847064,0.0071488326028826,0.986117840896136,0.00673332650098124,0.474142591317219,10
