"scen","r2m_mean","r2m_se","r2c_mean","r2c_se","for_ri_mean","for_ri_se","clim_ri_mean","clim_ri_se","shared_ri_mean","shared_ri_se","randEff_propR2_mean","randEff_propR2_se"
"cover_2050",0.0145449584293545,0.00239685572855969,0.539941969943201,0.0108191536573695,0.511926384114059,0.0412193056702052,0.488073615885941,0.0412193056702052,1.11022302462516e-17,1.61311665637771e-17,0.97212163780844,0.00541444261787098
"cover_2100",0.0187692779550676,0.00116847814249033,0.380937616387027,0.00644667202173234,0.291609971188851,0.0396397534686534,0.504976799790352,0.0534758405014448,0.203413229020797,0.0180533531699375,0.950921987356114,0.00258204345203359
"richness_2050",0.0222767297056096,0.000272043403800611,0.563595392014447,0.00104585925303551,0.110238927036459,0.0154682664944497,0.889761072963541,0.0154682664944497,1.11022302462516e-17,1.99291132009394e-17,0.960472203049985,0.000492635532365455
"richness_2100",0.0443272810460646,0.000267337851701222,0.450953927279694,0.00167293722051806,0.0285801666266866,0.00479360211798915,0.955796881272863,0.00432725758366453,0.01562295210045,0.00528559806970024,0.901690247002206,0.000709833930345832
"temp_2050",0.0493784893204757,0.0002158886603764,0.8132298484794,0.00139491266134931,0.0634084427839735,0.0027706427161726,0.936591557216026,0.00277064271617259,0,1.65502276883152e-17,0.939276837320306,0.000342079278511745
"temp_2100",0.117747737220414,0.000408445416103176,0.665706559942111,0.00142492995318456,0.0519501925163309,0.000825570595029814,0.948049807483669,0.000825570595029814,0,1.65502276883152e-17,0.823117180327816,0.000699404616913137
