"scen","r2m_mean","r2m_se","r2c_mean","r2c_se","for_ri_mean","for_ri_se","clim_ri_mean","clim_ri_se","shared_ri_mean","shared_ri_se","randEff_propR2_mean","randEff_propR2_se"
"cover_2050",0.0314783947559191,0.00441135256252528,0.639779052566937,0.0107161924305723,0.446018781274861,0.0579014995069029,0.525560467372718,0.0568865493985144,0.0284207513524213,0.00572165311675759,0.949778718234123,0.00808838696835337
"cover_2100",0.0470083064204915,0.00153215376727439,0.382740456886817,0.00962756378004696,0.0834284639709726,0.0191909125444823,0.865494271034034,0.0326614092182556,0.051077264994993,0.0174184969733447,0.876890788170139,0.00398226555166412
"richness_2050",0.0869292478001956,0.000532610076919537,0.866027340114669,0.00541849257246888,0.017556957942102,0.00509592668172332,0.982443042057898,0.00509592668172332,-1.11022302462516e-17,2.59052039079203e-17,0.899571504158971,0.00106897446564447
"richness_2100",0.268140109316316,0.00111886670534274,0.502570862943015,0.00283480049680407,0.00338807891875492,0.000919932852399417,0.996611921081245,0.000919932852399427,-2.22044604925031e-17,2.22044604925031e-17,0.466296007688077,0.00397169360027021
"temp_2050",0.0729487397529438,0.000521487170058892,0.941610085154104,0.00245016932285348,0.0162688525520134,0.0014849116051084,0.983731147447987,0.0014849116051084,-2.22044604925031e-17,2.22044604925031e-17,0.922512899694891,0.000725538529650309
"temp_2100",0.333039049295834,0.000756739697557389,0.659525106823652,0.00503911973653038,0.00677769393248049,0.0002229122320734,0.990098778336338,0.001043328736535,0.00312352773118174,0.00107208939800967,0.49474902956636,0.00425872073180515
