"scen","r2m","r2c","r2m_for","r2m_clim","denom","for_ri","clim_ri","shared_ri","randEff_propR2","rep"
"richness_2100",0.0446835970251814,0.451979282424865,0.000584765771207764,0.0427153037310506,0.0446835970251814,0.0130868106002796,0.955950428676957,0.0309627607227633,0.901137953081711,3
"temp_2100",0.116681209066308,0.670193818582892,0.00657469115229948,0.114888405851309,0.121463097003609,0.0541291249316996,0.9458708750683,0,0.825899305796304,3
"cover_2050",0.0120827011972653,0.537285109932743,0.00719046822845096,0.00673223262742696,0.0139227008558779,0.51645641911607,0.48354358088393,0,0.97751156513759,4
"richness_2050",0.0222008456353669,0.564223216778986,0.00248572729939832,0.0218724948231365,0.0243582221225348,0.102048798426001,0.897951201573999,0,0.960652371304204,4
"temp_2050",0.0492732360424897,0.811386449685299,0.0034740366458655,0.0498645767897171,0.0533386134355826,0.0651317389429538,0.934868261057046,-1.11022302462516e-16,0.939272789111033,4
"cover_2100",0.0152590542639294,0.364362925501353,0.00245471230832702,0.00966714012548458,0.0152590542639294,0.160869229892554,0.633534684278339,0.205596085829106,0.958121276353972,4
"richness_2100",0.0433693371509725,0.444972456897885,0.00128544861517263,0.0424386631990662,0.0437241118142388,0.029399078948335,0.970600921051665,1.11022302462516e-16,0.902534782819322,4
"temp_2100",0.119100580775906,0.668696592109825,0.00658043190999149,0.11714009904259,0.123720530952582,0.0531878731793801,0.94681212682062,0,0.821891449453738,4
"cover_2050",0.0123944810760451,0.535062997185503,0.00719417386295173,0.00714505929154302,0.0143392331544947,0.501712594072484,0.498287405927516,-5.55111512312578e-17,0.976835473315775,5
"richness_2050",0.0218907578181844,0.558232696851055,0.00247595802579771,0.0215464942253942,0.024022452251192,0.103068496084735,0.896931503915265,1.11022302462516e-16,0.960785604387439,5
"temp_2050",0.0490244889676452,0.814549887225372,0.00324645658029273,0.0494347964366332,0.052681253016926,0.0616245133586644,0.938375486641336,0,0.939814012945679,5
"cover_2100",0.0141860469548309,0.359461414164774,0.00274904030286228,0.00910666065337564,0.0141860469548309,0.193784802180295,0.641944911247772,0.164270286571933,0.960535271949027,5
