"scen","r2m","r2c","r2m_for","r2m_clim","denom","for_ri","clim_ri","shared_ri","randEff_propR2","rep"
"temp_2100",0.115447746986744,0.63949881475953,0.00792035649703923,0.114394285543064,0.122314642040103,0.0647539523064,0.9352460476936,0,0.819471523133071,3
"cover_2050",0.0120827011972653,0.537285109932743,0.00719046822845096,0.00673223262742696,0.0139227008558779,0.51645641911607,0.48354358088393,0,0.97751156513759,4
"richness_2050",0.0266473536525636,0.649633979525056,0.0030995353881804,0.026416573036446,0.0295161084246264,0.105011654774731,0.894988345225269,0,0.958980973144223,4
"temp_2050",0.0498734404132084,0.779725358193785,0.00372830745373358,0.0504568211810896,0.0541851286348232,0.0688068395825031,0.931193160417497,1.11022302462516e-16,0.936037170153426,4
"cover_2100",0.0152590542639294,0.364362925501353,0.00245471230832702,0.00966714012548458,0.0152590542639294,0.160869229892554,0.633534684278339,0.205596085829106,0.958121276353972,4
"richness_2100",0.0483788207221927,0.489573053612228,0.00179038206793199,0.048342443069677,0.050132825137609,0.0357127702860869,0.964287229713913,-1.11022302462516e-16,0.901181610455808,4
"temp_2100",0.117672193799014,0.639297768443972,0.00796144820336765,0.116586548120438,0.124547996323805,0.0639227321061763,0.936077267893824,0,0.815935234553651,4
"cover_2050",0.0123944810760451,0.535062997185503,0.00719417386295173,0.00714505929154302,0.0143392331544947,0.501712594072484,0.498287405927516,-5.55111512312578e-17,0.976835473315775,5
"richness_2050",0.0261617925986608,0.641970421755044,0.00307004191585785,0.0259688078975485,0.0290388498134064,0.105721884151227,0.894278115848772,0,0.959247666696016,5
"temp_2050",0.0506800365823936,0.784095031816218,0.00357006016430368,0.0510666569923332,0.0546367171566369,0.0653417765578548,0.934658223442145,0,0.935364930874511,5
"cover_2100",0.0141860469548309,0.359461414164774,0.00274904030286228,0.00910666065337564,0.0141860469548309,0.193784802180295,0.641944911247772,0.164270286571933,0.960535271949027,5
