"scen","r2m_mean","r2m_se","r2c_mean","r2c_se","for_ri_mean","for_ri_se","clim_ri_mean","clim_ri_se","shared_ri_mean","shared_ri_se","randEff_propR2_mean","randEff_propR2_se"
"cover_2050",0.0145449584293545,0.00239685572855969,0.539941969943201,0.0108191536573695,0.511926384114059,0.0412193056702052,0.488073615885941,0.0412193056702052,1.11022302462516e-17,1.61311665637771e-17,0.97212163780844,0.00541444261787098
"cover_2100",0.0187692779550676,0.00116847814249033,0.380937616387027,0.00644667202173234,0.291609971188851,0.0396397534686534,0.504976799790352,0.0534758405014448,0.203413229020797,0.0180533531699375,0.950921987356114,0.00258204345203359
"richness_2050",0.0267814211877174,0.000401677875823971,0.647870597500095,0.00154927722292923,0.117251802028264,0.015657883330341,0.882748197971736,0.015657883330341,-2.22044604925031e-17,1.48029736616688e-17,0.958652302582257,0.000687666175680102
"richness_2100",0.0480378257908811,0.00040198604573459,0.498291569713089,0.00177890111493925,0.0323153067961257,0.004696413853404,0.96685095405397,0.0045264190825689,0.0008337391499043,0.000583351521572023,0.903570441693935,0.00103061401739878
"temp_2050",0.0504085815450874,0.000212213103401375,0.783359282740693,0.00113078304548622,0.0666651524379959,0.00258861901585661,0.933334847562004,0.00258861901585662,3.33066907387547e-17,2.36963198597778e-17,0.935647920959118,0.000325580743593951
"temp_2100",0.116482272696506,0.000314169426336462,0.636796699355875,0.00118224110350436,0.0625530059100215,0.000898447989233988,0.937446994089979,0.000898447989233991,-2.22044604925031e-17,1.48029736616688e-17,0.817075189222218,0.000600112696022584
