"pred_decade","name","pred_gcm","pred_wind","delta_change_min","delta_change_q5","delta_change_q25","delta_change_median","delta_change_q75","delta_change_q95","delta_change_max","rel_change_min","rel_change_q5","rel_change_q25","rel_change_median","rel_change_q75","rel_change_q95","rel_change_max"
2050,"cover","all","all",-4.54484688665387,-4.39360191512926,-2.1402114656374,-0.748988330772164,1.48119282238393,4.62350439996715,6.65267070193293,-6.6082642973361,-6.38835221439825,-3.11189427715436,-1.08903841401071,2.15367291566486,6.72263330687782,9.67306652521459
2050,"eivTemp","all","all",0.168877660063852,0.176265539684572,0.180946468217904,0.245114149756452,0.299484449326987,0.310821256597494,0.331930071846982,4.58192051668164,4.78236548492761,4.90936654875031,6.65033818726188,8.1254912122752,8.43307689179469,9.00579274798255
2050,"lost","all","all",-6,-6,-5.25,-2,0,0,0,-2.41935483870968,-2.41935483870968,-2.11693548387097,-0.806451612903226,0,0,0
2050,"richness","all","all",-4.31238475544444,-4.30243485573752,-3.94884616630384,-1.11171810111674,1.16562652550826,1.49483392059373,2.24923363093516,-9.141343740331,-9.1202520570604,-8.37071880896013,-2.3566072790295,2.47088173870992,3.16873179871113,4.76789965151707
2100,"cover","all","all",-9.72128820994497,-8.89854449552441,-8.27762642169417,-5.37117356405517,-3.34685196498422,-1.74857310307795,-0.525544034596663,-14.1348748162539,-12.9385951506333,-12.0357724942943,-7.80975363600725,-4.86636467635941,-2.54244719272811,-0.764147608734964
2100,"eivTemp","all","all",0.423855779184622,0.426242429569204,0.431887827765402,0.544700855183777,0.649726646864294,0.655767243854789,0.660671425011492,11.4998839398048,11.5646375748275,11.7178062402994,14.7786037707826,17.6281211640231,17.7920122036863,17.9250704675853
2100,"lost","all","all",-66,-64,-62,-38,-14,-13,-13,-26.6129032258064,-25.8064516129032,-25,-15.3225806451613,-5.64516129032258,-5.24193548387097,-5.24193548387097
2100,"richness","all","all",-10.3027499057221,-10.1126260604813,-9.90341407296529,-6.41860235104679,-2.74762338831142,-2.23444022089937,-1.71035992161634,-21.8396510747248,-21.4366287283569,-20.9931435569406,-13.6060796405835,-5.82438054253326,-4.73654075060776,-3.62560134353532
2050,"cover","all","0",-4.54484688665387,-4.49574640724142,-4.07876326950367,-1.01961720933706,-0.654497820345142,1.37779787909882,1.45527877144804,-6.6082642973361,-6.5368715852876,-5.93057288030916,-1.48253619306686,-0.951648028357549,2.00333537310815,2.11599356103096
2050,"eivTemp","all","0",0.176294492226552,0.17702699462212,0.180634944059232,0.239779883287677,0.296359015362724,0.299874145492162,0.310490590606582,4.78315101361185,4.80302497298282,4.90091440100309,6.50561102225091,8.04069319932917,8.13606429135394,8.42410539558048
2050,"lost","all","0",-6,-6,-6,-2.5,0,0,0,-2.41935483870968,-2.41935483870968,-2.41935483870968,-1.00806451612903,0,0,0
2050,"richness","all","0",-4.31238475544444,-4.31213309719526,-4.2428233152027,-1.55371466315624,0.752927529827684,1.1650735829981,1.16770005992136,-9.141343740331,-9.14081027806097,-8.99388819719574,-3.29354652141655,1.59604714143922,2.46970961751928,2.47527719317479
2050,"cover","all","15",-2.15330806529417,-2.1396959776606,-1.54099557899179,1.49088240337593,2.42511765417708,6.40660909657229,6.65267070193293,-3.13093689709003,-3.11114475117962,-2.24062687280136,2.16776168778909,3.52615144373694,9.31528986910218,9.67306652521459
2050,"eivTemp","all","15",0.168877660063852,0.175373552320797,0.182923240162159,0.246252481944162,0.303767068047397,0.31784521849593,0.331930071846982,4.58192051668164,4.75816444376469,4.96299952735006,6.68122295676718,8.24168549500478,8.62364819127068,9.00579274798255
2050,"lost","all","15",-6,-5.05,-5,-2,0,0,0,-2.41935483870968,-2.03629032258065,-2.01612903225806,-0.806451612903226,0,0,0
2050,"richness","all","15",-3.95974856153975,-3.95445274886464,-3.8238736399118,-0.879021268621294,1.33122933695483,2.17559556998195,2.24923363093516,-8.39382958132768,-8.38260357836344,-8.10580348098412,-1.86333920260344,2.82192467890377,4.61180253455763,4.76789965151707
2100,"cover","all","0",-9.72128820994497,-8.93363334401798,-8.29625978893887,-5.62693586677747,-4.28355165440271,-2.9722733687355,-0.525544034596663,-14.1348748162539,-12.9896147758303,-12.0628656436507,-8.18163522758461,-6.22833775692392,-4.32172270582228,-0.764147608734964
2100,"eivTemp","all","0",0.423855779184622,0.424968458271792,0.429104535732787,0.536036422243622,0.644108483103842,0.654518481325584,0.655649381955832,11.4998839398048,11.5300726997394,11.6422910841601,14.5435238730691,17.4756914122705,17.7581312827233,17.7888144222108
2100,"lost","all","0",-66,-64.1,-63.25,-37.5,-14,-13,-13,-26.6129032258064,-25.8467741935484,-25.5040322580645,-15.1209677419355,-5.64516129032258,-5.24193548387097,-5.24193548387097
2100,"richness","all","0",-10.3027499057221,-10.1470294956656,-9.92223465121824,-6.48157590928965,-3.06230088864112,-2.67444653693728,-1.86149368511894,-21.8396510747248,-21.5095567356435,-21.0330392028439,-13.7395702670224,-6.49143029829315,-5.66926109234932,-3.94597296186156
2100,"cover","all","15",-9.01951124007357,-8.76291603903656,-7.89762361527649,-4.47232942683607,-2.86365528196932,-1.74857310307794,-0.538023812543869,-13.1144823123145,-12.7413896761555,-11.4832436542333,-6.50282300248088,-4.16379064722429,-2.5424471927281,-0.782293362179239
2100,"eivTemp","all","15",0.429348771283202,0.429376447692292,0.434761976187515,0.548389950297572,0.652345170765982,0.658139860188788,0.660671425011492,11.6489175845447,11.6496684897064,11.7957864753304,14.8786948105536,17.6991658977317,17.8563850725125,17.9250704675853
2100,"lost","all","15",-64,-63.05,-62,-38,-14,-13,-13,-25.8064516129032,-25.4233870967742,-25,-15.3225806451613,-5.64516129032258,-5.24193548387097,-5.24193548387097
2100,"richness","all","15",-10.0497578852146,-10.0339616595678,-9.82842500456929,-6.11024088859484,-2.55451024100427,-2.22688353272424,-1.71035992161634,-21.3033614915423,-21.2698768336033,-20.8341825899003,-12.9524185494702,-5.41502150793341,-4.72052216969144,-3.62560134353532
2050,"cover","ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E","0",-0.931300162234464,-0.897569944740221,-0.749622050088064,-0.600867002105218,-0.188492023212447,1.41857729612472,1.45527877144804,-1.35412210040994,-1.30507794170283,-1.08995984983336,-0.873668146911479,-0.274069762610757,2.06262915622542,2.11599356103096
2050,"eivTemp","ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E","0",0.176294492226552,0.176641467045505,0.179234486113574,0.180561561417772,0.18128129364444,0.184268802623533,0.186311621471142,4.78315101361185,4.79256499436652,4.86291774122268,4.89892341279099,4.91845089709317,4.99950678500579,5.05493172153193
2050,"lost","ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E","0",-6,-6,-6,-6,-6,-5.45,-5,-2.41935483870968,-2.41935483870968,-2.41935483870968,-2.41935483870968,-2.41935483870968,-2.19758064516129,-2.01612903225806
2050,"richness","ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E","0",0.686895725222257,0.699357753804081,0.720642280899458,0.770875314934308,0.870401785611005,1.1664559392735,1.16770005992136,1.45607367943992,1.48249054468471,1.52760924108201,1.63409265044213,1.84506772138611,2.47263992049586,2.47527719317479
2100,"cover","ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E","0",-5.46149298282767,-5.27891703089719,-5.00201904230729,-4.12886125702487,-3.29975232336654,-1.6845210876098,-0.525544034596663,-7.94107920215188,-7.6756114812838,-7.2729983377308,-6.00341598164155,-4.79788120752497,-2.44931475998685,-0.764147608734964
2100,"eivTemp","ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E","0",0.423855779184622,0.424382837699597,0.426313059086995,0.428970425383592,0.431415046053007,0.432063429686758,0.432203824837382,11.4998839398048,11.5141838787212,11.5665538663993,11.6386524562905,11.7049789176854,11.7225706007597,11.7263797453253
2100,"lost","ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E","0",-14,-14,-14,-14,-13,-13,-13,-5.64516129032258,-5.64516129032258,-5.64516129032258,-5.64516129032258,-5.24193548387097,-5.24193548387097,-5.24193548387097
2100,"richness","ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E","0",-3.50814953971584,-3.466773939056,-3.30294164258629,-3.00951801458939,-2.80953675448197,-2.24657661492763,-1.86149368511894,-7.43653515483254,-7.34882763114352,-7.00153780828933,-6.37954176731265,-5.95562378597796,-4.76226733946103,-3.94597296186156
2050,"cover","ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E","15",1.20062577664373,1.32252063578042,1.59516356482453,2.02901042915483,2.58957735412478,6.53611520465684,6.65267070193293,1.74572491706044,1.92296156897652,2.31938780265539,2.95020657731734,3.76527790731625,9.50359337231924,9.67306652521459
2050,"eivTemp","ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E","15",0.168877660063852,0.171954661659247,0.178056491651934,0.182637178988397,0.184660712375515,0.193493889283725,0.196980154408692,4.58192051668164,4.66540448214204,4.83095687090813,4.955238231033,5.01013992222838,5.24979811318097,5.34438605155386
2050,"lost","ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E","15",-6,-5.55,-5,-5,-4.25,-4,-4,-2.41935483870968,-2.23790322580645,-2.01612903225806,-2.01612903225806,-1.71370967741935,-1.61290322580645,-1.61290322580645
2050,"richness","ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E","15",1.15228939021316,1.15993214308025,1.21409662149813,1.35794930049301,1.45447941272413,2.21435244416785,2.24923363093516,2.44260983229203,2.45881085215518,2.57362809222368,2.87856535112653,3.08318877580666,4.6939589119047,4.76789965151707
2100,"cover","ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E","15",-3.66380470838946,-3.53463289126172,-3.34685196498422,-2.71926057346947,-1.99763944534124,-1.1114418975337,-0.538023812543869,-5.32721793509914,-5.13940049512027,-4.86636467635941,-3.95383893252387,-2.90459277393126,-1.61605043980765,-0.782293362179239
2100,"eivTemp","ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E","15",0.429348771283202,0.429361881161192,0.43231487195477,0.434257499403887,0.437887194452167,0.446822168248469,0.449532690717692,11.6489175845447,11.6492732764634,11.7293926308975,11.7820992148353,11.8805786360017,12.1229987390384,12.1965395407523
2100,"lost","ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E","15",-15,-15,-14,-14,-13,-13,-13,-6.04838709677419,-6.04838709677419,-5.64516129032258,-5.64516129032258,-5.24193548387097,-5.24193548387097,-5.24193548387097
2100,"richness","ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E","15",-2.89142661481194,-2.83127364176268,-2.61285435170384,-2.5315136743377,-2.30148236020852,-1.95502900056219,-1.71035992161634,-6.12921297260581,-6.00170139030743,-5.53869868457109,-5.36627364969067,-4.87865590852319,-4.14424805066191,-3.62560134353532
2050,"cover","MPI-M-MPI-ESM-LR_rcp85_r1i1p1_SMHI-RCA4","0",-4.54484688665387,-4.52158876482692,-4.38237565673412,-4.12120207989287,-3.71370335494314,-1.57412208399497,-1.10793425643966,-6.6082642973361,-6.57444669689208,-6.37202909408299,-5.99227944216054,-5.39977119216802,-2.28879322598498,-1.61095028572377
2050,"eivTemp","MPI-M-MPI-ESM-LR_rcp85_r1i1p1_SMHI-RCA4","0",0.293248145104212,0.293683135519362,0.294778997020069,0.296405655325837,0.297526140132064,0.305461748183962,0.310490590606582,7.9562903229699,7.96809230735897,7.99782477932497,8.04195861598524,8.07235915753907,8.2876648725258,8.42410539558048
2050,"lost","MPI-M-MPI-ESM-LR_rcp85_r1i1p1_SMHI-RCA4","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,"richness","MPI-M-MPI-ESM-LR_rcp85_r1i1p1_SMHI-RCA4","0",-4.31238475544444,-4.31226554890535,-4.29998548236715,-4.24880793460935,-4.14370316472829,-3.86306037484415,-3.79432505153474,-9.141343740331,-9.14109104767678,-9.11505990348489,-9.0065743247687,-8.78377443915597,-8.18887107221092,-8.04316672227302
2100,"cover","MPI-M-MPI-ESM-LR_rcp85_r1i1p1_SMHI-RCA4","0",-9.72128820994497,-9.34818853661113,-8.88381647521149,-8.33308504132107,-6.76103837299864,-5.85304297544638,-5.79237875072727,-14.1348748162539,-13.5923832181585,-12.9171804246301,-12.1164100218502,-9.83063447624765,-8.51039779557746,-8.42219125301733
2100,"eivTemp","MPI-M-MPI-ESM-LR_rcp85_r1i1p1_SMHI-RCA4","0",0.639869019649862,0.639943838786295,0.640818614080957,0.645214578348572,0.65027670792614,0.655113692183609,0.655649381955832,17.3606680008129,17.3626979634269,17.3864320136771,17.5057015420491,17.6430451987577,17.7742803035062,17.7888144222108
2100,"lost","MPI-M-MPI-ESM-LR_rcp85_r1i1p1_SMHI-RCA4","0",-66,-65.1,-64,-63.5,-62.25,-61.45,-61,-26.6129032258064,-26.25,-25.8064516129032,-25.6048387096774,-25.1008064516129,-24.7782258064516,-24.5967741935484
2100,"richness","MPI-M-MPI-ESM-LR_rcp85_r1i1p1_SMHI-RCA4","0",-10.3027499057221,-10.2289876062217,-10.1042967566105,-9.94443159129454,-9.65798307857107,-9.48420788093456,-9.45500227886345,-21.8396510747248,-21.6832905983179,-21.418972365551,-21.0800920218125,-20.4728817501859,-20.1045150794862,-20.0426053792123
2050,"cover","MPI-M-MPI-ESM-LR_rcp85_r1i1p1_SMHI-RCA4","15",-2.15330806529417,-2.14686023430985,-1.9859471049988,-1.55324547829502,-0.787281718557264,4.30077102103929,4.53033839545154,-3.13093689709003,-3.12156167007983,-2.88759196462695,-2.25843837981806,-1.14471747947437,6.25337493168582,6.58716876940927
