"pred_decade","elev_group","name","mean","sd","n_obs"
2050,"montane","fern",0.108220969196048,0.0397191731274531,809884
2050,"montane","graminoid",0.108387977889164,0.030555063836886,809884
2050,"montane","herb",0.695808381774065,0.0606740801609048,809884
2050,"montane","light_cold",0.0735429356180149,0.0647443566776697,809884
2050,"montane","light_notemp",0.164788254654162,0.050953784961697,809884
2050,"montane","light_warm",0.0963085388947968,0.0426900501264287,809884
2050,"montane","mean_richness",24.2488125151256,2.81871720327294,809884
2050,"montane","mean_T",4.4166994762572,0.351166050571956,809884
2050,"montane","mean_turnover",56.9430463159957,10.2967959530952,809884
2050,"montane","shade_cold",0.0437282619143089,0.030205923936371,809884
2050,"montane","shade_notemp",0.241139095384031,0.0364701809458259,809884
2050,"montane","shade_warm",0.380492913534686,0.100142786778672,809884
2050,"montane","shrub",0.0875826711407229,0.041494127060087,809884
2050,"montane","turnover_lost",33.1926525209899,7.79669677382658,809884
2050,"montane","turnover_new",24.2262952262002,7.64059347325522,809884
2050,"subalpine","fern",0.095295629907393,0.025779424564364,716962
2050,"subalpine","graminoid",0.137527732098407,0.0457504112297035,716962
2050,"subalpine","herb",0.681235489969048,0.054680044340839,716962
2050,"subalpine","light_cold",0.314362085708019,0.137154258644383,716962
2050,"subalpine","light_notemp",0.176402756347315,0.0448477064965952,716962
2050,"subalpine","light_warm",0.130533895099138,0.0297793468363184,716962
2050,"subalpine","mean_richness",32.5913207045841,6.03553435836857,716962
2050,"subalpine","mean_T",3.42722242068622,0.338972648931978,716962
2050,"subalpine","mean_turnover",51.792821972292,12.1347160700106,716962
2050,"subalpine","shade_cold",0.109079128223686,0.0357848636008538,716962
2050,"subalpine","shade_notemp",0.141741530770047,0.0603013768594257,716962
2050,"subalpine","shade_warm",0.127880603851794,0.0862398427652198,716962
2050,"subalpine","shrub",0.0859411480251523,0.0348409922224447,716962
2050,"subalpine","turnover_lost",31.5551256706034,9.68385099853338,716962
2050,"subalpine","turnover_new",20.7055309519548,8.01246310263805,716962
2050,"submontane","fern",0.0997814083233545,0.0346466245245762,202086
2050,"submontane","graminoid",0.118962826599932,0.028654192175092,202086
2050,"submontane","herb",0.69758636001434,0.0495019569687715,202086
2050,"submontane","light_cold",0.0344668432153493,0.0286373517535565,202086
2050,"submontane","light_notemp",0.150282864149471,0.0441188855557069,202086
2050,"submontane","light_warm",0.104881759194271,0.0426136177026934,202086
2050,"submontane","mean_richness",23.832345511317,2.23446451248212,202086
2050,"submontane","mean_T",4.70917542018031,0.14638995306365,202086
2050,"submontane","mean_turnover",46.9934883009882,10.0172221631535,202086
2050,"submontane","shade_cold",0.0232482043613651,0.0169788605836195,202086
2050,"submontane","shade_notemp",0.239669222863022,0.0360120787956791,202086
2050,"submontane","shade_warm",0.447451106216521,0.0674662638941144,202086
2050,"submontane","shrub",0.0836694050623738,0.0318004966799332,202086
2050,"submontane","turnover_lost",28.2463754544958,5.89970330338765,202086
2050,"submontane","turnover_new",19.2152734181924,8.4864288948874,202086
2100,"montane","fern",0.0945965518645424,0.0316231351713279,809884
2100,"montane","graminoid",0.124119971877791,0.0254429980673564,809884
2100,"montane","herb",0.69997049267701,0.0481771049612889,809884
2100,"montane","light_cold",0.0560990391195328,0.035841121151833,809884
2100,"montane","light_notemp",0.164741699834483,0.0416989024739397,809884
2100,"montane","light_warm",0.105677987342176,0.0407225179779912,809884
2100,"montane","mean_richness",24.4098028236142,1.79638478478765,809884
2100,"montane","mean_T",4.56685301668722,0.195581932404269,809884
2100,"montane","mean_turnover",64.3855198196251,10.3502029761728,809884
2100,"montane","shade_cold",0.0343058491608555,0.0221341626504975,809884
2100,"montane","shade_notemp",0.233200783598204,0.0253670629565932,809884
2100,"montane","shade_warm",0.405974640944748,0.062482941192188,809884
2100,"montane","shrub",0.0813129835806573,0.0358752713679023,809884
2100,"montane","turnover_lost",36.1846640120559,8.99584191043025,809884
2100,"montane","turnover_new",28.6486648691742,6.89080169194493,809884
2100,"subalpine","fern",0.102434328455016,0.0262162796145249,716962
2100,"subalpine","graminoid",0.126234596818242,0.0341135899667212,716962
2100,"subalpine","herb",0.694683585687163,0.0471233702533903,716962
2100,"subalpine","light_cold",0.166884243914888,0.11803443527777,716962
2100,"subalpine","light_notemp",0.179271621632872,0.0445476225650687,716962
2100,"subalpine","light_warm",0.120469285828731,0.0312541534826095,716962
2100,"subalpine","mean_richness",26.8513845922099,3.48229241899456,716962
2100,"subalpine","mean_T",3.9569950365087,0.441323580405613,716962
2100,"subalpine","mean_turnover",72.1026111147558,11.0275333361968,716962
2100,"subalpine","shade_cold",0.0856351616927615,0.0398967034449971,716962
2100,"subalpine","shade_notemp",0.200226313103721,0.0502487006777895,716962
2100,"subalpine","shade_warm",0.247513373827026,0.100466263913064,716962
2100,"subalpine","shrub",0.0766474890395792,0.0336264855653286,716962
2100,"subalpine","turnover_lost",46.5741905659456,9.23874110101482,716962
2100,"subalpine","turnover_new",25.9854469693588,6.62602757855447,716962
2100,"submontane","fern",0.0864263504298118,0.0260655386567203,202086
2100,"submontane","graminoid",0.118739933973396,0.0224900144282923,202086
2100,"submontane","herb",0.708438368186314,0.0433113031645028,202086
2100,"submontane","light_cold",0.0356697423637018,0.0217351254596468,202086
2100,"submontane","light_notemp",0.156001259538039,0.0356620327920569,202086
2100,"submontane","light_warm",0.109914337884441,0.0327162472250957,202086
2100,"submontane","mean_richness",24.5337094108449,1.76415425398129,202086
2100,"submontane","mean_T",4.72082332494719,0.115801539308216,202086
