"pred_decade","name","pred_gcm","pred_wind","delta_change_min","delta_change_q5","delta_change_q25","delta_change_median","delta_change_q75","delta_change_q95","delta_change_max","rel_change_min","rel_change_q5","rel_change_q25","rel_change_median","rel_change_q75","rel_change_q95","rel_change_max"
2050,"eivTemp","all","all",0.201895014367674,0.20700593761217,0.223199235125471,0.323591203809543,0.411712951008806,0.426994387418717,0.463408787620203,5.42355967841413,5.56085577418517,5.99586064901464,8.69271690916966,11.0599549333388,11.4704642398742,12.4486739953997
2050,"lost","all","all",-16,-15,-6,-1,0,0,0,-9.19540229885057,-8.62068965517241,-3.44827586206897,-0.574712643678161,0,0,0
2050,"richness","all","all",-6.67991569361899,-6.65255805317961,-4.29942415317661,-1.92211087538434,-0.614243070288487,0.0332934435824703,0.899046347687513,-21.9377538799923,-21.8479076588387,-14.1198951040927,-6.31247417606154,-2.01725798895213,0.109340207965101,2.95259078211348
2100,"eivTemp","all","all",0.276566029769823,0.280307697542122,0.503745198565163,0.625266701892893,0.733574259596594,0.920046143181666,0.929830170243723,7.42946710287297,7.52998052329306,13.5322417727329,16.7967063637618,19.7062012052716,24.7154452033833,24.9782761347586
2100,"lost","all","all",-59,-57.05,-35,-19,-10.25,-4,-3,-33.9080459770115,-32.7873563218391,-20.1149425287356,-10.9195402298851,-5.89080459770115,-2.29885057471264,-1.72413793103448
2100,"richness","all","all",-8.12375616854799,-8.00678077564647,-7.78496985422216,-5.47066917611569,-2.23994755143639,-1.13731494356055,-1.02560077550769,-26.6795228533972,-26.2953597146408,-25.5669024069013,-17.9664234473992,-7.35629315418507,-3.73509733658801,-3.36821277755188
2050,"eivTemp","all","0",0.205098424942853,0.20652180901225,0.228368369063016,0.317597115976989,0.408003951718793,0.41583739923496,0.433035992612464,5.50961375202939,5.54785049833962,6.13472047417573,8.53169612725816,10.960319095081,11.170751087296,11.6327614933469
2050,"lost","all","0",-16,-14.05,-6,-1,0,0,0,-9.19540229885057,-8.07471264367816,-3.44827586206897,-0.574712643678161,0,0,0
2050,"richness","all","0",-6.67991569361899,-6.66561802314952,-4.38346996874369,-2.27879349795134,-0.977097711188215,-0.434451730895164,-0.142337581813489,-21.9377538799923,-21.8907983808209,-14.3959130212522,-7.48386853881071,-3.20892210140122,-1.42679871756752,-0.467456025033435
2050,"eivTemp","all","15",0.201895014367674,0.208252555304889,0.223199235125471,0.326006642564698,0.419700733069351,0.434838260710414,0.463408787620203,5.42355967841413,5.59434399812077,5.99586064901464,8.75760348538932,11.2745328556278,11.681176302481,12.4486739953997
2050,"lost","all","15",-16,-15.05,-6,-1.5,0,0,0,-9.19540229885057,-8.64942528735632,-3.44827586206897,-0.862068965517241,0,0,0
2050,"richness","all","15",-6.56716284966669,-6.52972216374042,-4.03986622955671,-1.81224304946639,-0.505257580980637,0.138329153488935,0.899046347687513,-21.5674581676889,-21.4444978504303,-13.2674714947028,-5.95165325632745,-1.6593347829437,0.454291799905016,2.95259078211348
2100,"eivTemp","all","0",0.276566029769823,0.280219791573323,0.501343511119341,0.614289471111053,0.723018464192653,0.920046143181666,0.926728096747263,7.42946710287297,7.52761908178169,13.4677246016075,16.5018220822678,19.4226380548605,24.7154452033833,24.8949443061467
2100,"lost","all","0",-59,-58,-35.75,-18.5,-10.25,-4,-4,-33.9080459770115,-33.3333333333333,-20.5459770114943,-10.632183908046,-5.89080459770115,-2.29885057471264,-2.29885057471264
2100,"richness","all","0",-8.12375616854799,-8.04776428454102,-7.79562961412019,-5.61308484081504,-2.25205213391851,-1.45894835655773,-1.43104529270089,-26.6795228533972,-26.4299551455571,-25.601910511762,-18.4341359072756,-7.39604625339957,-4.79138531648785,-4.69974785046804
2100,"eivTemp","all","15",0.280201776009553,0.28438403365637,0.507800591626868,0.628430278531779,0.734730015412241,0.920030402445342,0.929830170243723,7.52713512488185,7.63948422874188,13.6411828793693,16.8816903677104,19.7372485823427,24.7150223557805,24.9782761347586
2100,"lost","all","15",-59,-57,-33.5,-19,-11,-4,-3,-33.9080459770115,-32.7586206896552,-19.2528735632184,-10.9195402298851,-6.32183908045977,-2.29885057471264,-1.72413793103448
2100,"richness","all","15",-8.00516850865159,-7.96969753581978,-7.68340744459584,-5.22974703458554,-2.20767647310594,-1.07377323110451,-1.02560077550769,-26.2900648100126,-26.1735732991075,-25.2333576066324,-17.1752022872013,-7.25031053309726,-3.52641768958206,-3.36821277755188
2050,"eivTemp","ICHEC-EC-EARTH_rcp45_r12i1p1_KNMI-RACMO22E","0",0.205098424942853,0.205734859995368,0.206649563561641,0.207911908311514,0.208919141239428,0.210316106098999,0.210509520838364,5.50961375202939,5.52671047677795,5.55128240291131,5.58519310698248,5.61225067406367,5.64977771408623,5.65497346587293
2050,"lost","ICHEC-EC-EARTH_rcp45_r12i1p1_KNMI-RACMO22E","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,"richness","ICHEC-EC-EARTH_rcp45_r12i1p1_KNMI-RACMO22E","0",-1.35936520348979,-1.35393011408198,-1.33914491720899,-1.31817503522409,-1.28082538815871,-1.14896294359758,-1.09817158800929,-4.46434066460922,-4.44649108997189,-4.39793448762186,-4.32906653614207,-4.20640520291484,-3.7733509568022,-3.60654522013825
2100,"eivTemp","ICHEC-EC-EARTH_rcp45_r12i1p1_KNMI-RACMO22E","0",0.276566029769823,0.277531529561435,0.280301414733961,0.280515349950349,0.281308519234378,0.282574305918552,0.283263882351884,7.42946710287297,7.45540358157058,7.52981174653988,7.53555874537998,7.55686586363891,7.59086902931024,7.60939330516081
2100,"lost","ICHEC-EC-EARTH_rcp45_r12i1p1_KNMI-RACMO22E","0",-5,-5,-5,-5,-4.25,-4,-4,-2.8735632183908,-2.8735632183908,-2.8735632183908,-2.8735632183908,-2.44252873563218,-2.29885057471264,-2.29885057471264
2100,"richness","ICHEC-EC-EARTH_rcp45_r12i1p1_KNMI-RACMO22E","0",-1.60910203524489,-1.60398552401136,-1.59150591232046,-1.52340982756984,-1.46555908503056,-1.44114140984144,-1.43104529270089,-5.2845104693039,-5.26770714882598,-5.22672240255826,-5.00308557599212,-4.81309585010176,-4.73290487566592,-4.69974785046804
2050,"eivTemp","ICHEC-EC-EARTH_rcp45_r12i1p1_KNMI-RACMO22E","15",0.201895014367674,0.204215490387499,0.208783079982446,0.211217827304254,0.213998792013738,0.219269053205123,0.221643281273014,5.42355967841413,5.48589524531888,5.608595624188,5.67400089158917,5.74870668911812,5.89028312270082,5.95406264522494
