"pred_decade","name","pred_gcm","pred_wind","delta_change_min","delta_change_q5","delta_change_q25","delta_change_median","delta_change_q75","delta_change_q95","delta_change_max","rel_change_min","rel_change_q5","rel_change_q25","rel_change_median","rel_change_q75","rel_change_q95","rel_change_max"
2050,"cover","all","all",-6.20011177701667,-5.79678307566697,-3.84299267683949,-2.14144337927912,-0.439854997631546,2.73922627762046,6.65267070193293,-9.01504018009236,-8.42859519664376,-5.58775948555219,-3.11368549501913,-0.639554675733737,3.98286931642957,9.67306652521459
2050,"eivTemp","all","all",0.146853983752432,0.152213371475496,0.167042994759199,0.237108959911962,0.294310930620744,0.305802220723757,0.331930071846982,3.98438301938392,4.12979176412774,4.53214311807574,6.43314460716057,7.98512539068218,8.29690243606655,9.00579274798255
2050,"lost","all","all",-17,-14,-7.5,-2,0,0,0,-6.85483870967742,-5.64516129032258,-3.0241935483871,-0.806451612903226,0,0,0
2050,"richness","all","all",-8.12525883030684,-8.08915388228108,-5.08422800896742,-2.07902971314079,-0.231045813253495,1.41283439718852,2.24923363093516,-17.2238304694915,-17.1472956148004,-10.7774882158909,-4.40710333886315,-0.489768264774613,2.99491014955426,4.76789965151707
2100,"cover","all","all",-10.0347650646213,-9.69239586187014,-8.38542890326662,-5.16831139524352,-3.56231435920142,-1.92286094180617,-0.525544034596663,-14.5906740892463,-14.0928649802769,-12.1925186527251,-7.51478950170938,-5.17964969621457,-2.7958638931916,-0.764147608734964
2100,"eivTemp","all","all",0.214162016602092,0.217210900662149,0.374480762621067,0.455639169712207,0.525463754459207,0.654468258551165,0.660671425011492,5.81055740227586,5.89327849411523,10.160260917325,12.3622180643597,14.2566705176925,17.7567686586769,17.9250704675853
2100,"lost","all","all",-66,-64,-36.25,-19,-12,-7,-7,-26.6129032258064,-25.8064516129032,-14.616935483871,-7.66129032258065,-4.83870967741935,-2.82258064516129,-2.82258064516129
2100,"richness","all","all",-10.3027499057221,-10.0514423354996,-9.52217872073625,-6.07541013758784,-1.38001292127162,0.250044073451163,0.442085634368453,-21.8396510747248,-21.3069321699351,-20.1850052301616,-12.878584723004,-2.92533556137713,0.530040558826269,0.937128056888288
2050,"cover","all","0",-6.20011177701667,-5.96470665878117,-4.41456196909844,-3.67602623097986,-1.06377573288836,-0.086106114710686,1.45527877144804,-9.01504018009236,-8.67275818973226,-6.41882839539381,-5.34498818201998,-1.54674323939531,-0.125199369267176,2.11599356103096
2050,"eivTemp","all","0",0.150773984945622,0.152213371475496,0.170929137350894,0.231774693443187,0.290309785261414,0.297818309819785,0.310490590606582,4.09073890971129,4.12979176412774,4.63758037049211,6.2884174421496,7.87656792958751,8.08028618759156,8.42410539558048
